Dzien Miesiac Rok Godzina Minuta  Cisnienie Temperatura
1 12 18 12 0  991.66 2.94
1 12 18 12 30  991.50 5.11
1 12 18 12 30  991.49 5.16
1 12 18 12 34  991.49 5.62
1 12 18 13 0  991.42 5.48
1 12 18 14 54  990.09 25.82
1 12 18 14 54  990.09 25.82
1 12 18 14 54  990.14 25.82
1 12 18 14 54  990.11 25.81
1 12 18 15 0  990.07 25.86
1 12 18 15 30  990.51 25.46
1 1 0 0 30  990.95 25.25
1 1 0 1 0  991.03 25.32
11 1 80 0 2  993.03 -3.90
11 1 80 0 30  992.83 -3.71
11 1 80 1 0  992.90 -3.73
11 1 80 1 30  992.68 -3.75
11 1 80 2 0  992.68 -3.38
11 1 80 2 30  992.66 -2.88
11 1 80 3 0  0.00 -2.57
1 12 18 21 30  992.23 -2.35
1 12 18 22 0  992.17 -2.26
1 12 18 22 30  992.00 -1.97
1 12 18 23 0  991.88 -1.85
1 12 18 23 30  992.01 -1.86
2 12 18 0 0  992.07 -1.78
2 12 18 0 30  0.00 -1.77
2 12 18 0 35  0.00 -1.77
2 12 18 1 0  992.15 -1.79
2 12 18 1 30  992.34 -1.74
2 12 18 2 0  992.48 -1.60
2 12 18 2 30  992.18 -1.47
2 12 18 3 0  0.00 -1.41
2 12 18 3 16  0.00 -1.41
2 12 18 3 30  0.00 -1.39
2 12 18 3 44  0.00 -1.39
2 12 18 4 0  0.00 -1.39
2 12 18 4 30  992.54 -1.44
2 12 18 5 0  992.10 -1.20
2 12 18 5 30  992.09 -0.88
2 12 18 6 0  0.00 -0.91
2 12 18 6 30  0.00 -0.91
2 12 18 7 0  0.00 -0.91
2 12 18 7 30  0.00 -0.91
2 12 18 8 0  0.00 -0.91
2 12 18 8 30  0.00 -0.91
2 12 18 8 33  0.00 -0.91
2 12 18 9 0  991.38 -0.86
2 12 18 9 30  991.55 -0.20
2 12 18 10 0  991.87 0.34
2 12 18 10 30  991.21 1.19
2 12 18 11 0  0.00 0.49
2 12 18 11 30  0.00 0.49
2 12 18 12 0  989.52 6.01
2 12 18 12 30  989.25 6.88
2 12 18 13 0  988.20 10.50
2 12 18 13 12  988.11 9.03
2 12 18 13 30  0.00 9.03
2 12 18 13 53  0.00 9.03
2 12 18 14 0  987.75 9.36
2 12 18 14 30  987.64 6.28
2 12 18 15 0  987.50 1.25
2 12 18 15 30  987.27 0.02
2 12 18 16 0  986.55 -0.14
2 12 18 16 30  986.15 -0.16
2 12 18 17 0  0.00 -0.19
2 12 18 17 30  0.00 -0.19
2 12 18 18 0  986.24 0.09
2 12 18 18 30  986.19 0.26
2 12 18 19 0  985.86 0.73
2 12 18 19 19  985.83 1.10
2 12 18 19 30  0.00 1.10
2 12 18 20 0  0.00 1.10
2 12 18 20 30  0.00 1.10
2 12 18 20 58  0.00 1.10
2 12 18 21 0  984.83 2.34
2 12 18 21 0  984.81 2.35
2 12 18 21 30  984.69 2.71
2 12 18 21 46  984.69 2.79
2 12 18 21 48  984.64 2.81
2 12 18 22 0  0.00 2.79
2 12 18 22 30  984.66 3.00
2 12 18 23 0  984.13 3.13
2 12 18 23 30  983.81 3.11
3 12 18 0 0  983.13 2.94
3 12 18 0 30  983.12 2.89
3 12 18 1 0  982.95 3.00
3 12 18 1 8  982.80 3.00
3 12 18 1 30  0.00 3.00
3 12 18 1 30  0.00 3.00
3 12 18 12 30  982.41 26.05
3 12 18 12 44  982.29 26.49
3 12 18 13 0  982.34 26.66
4 12 18 20 0  1024.25 25.75
4 12 18 21 30  1024.25 25.75
4 12 18 22 0  1024.25 25.75
4 12 18 22 30  1024.25 25.75
4 12 18 23 0  1024.25 25.75
5 12 18 15 0  1024.25 25.75
5 12 18 15 21  0.00 23.26
5 12 18 15 21  0.00 23.26
5 12 18 15 21  0.00 23.26
5 12 18 15 50  998.87 23.45
5 12 18 16 0  998.77 23.58
5 12 18 16 30  998.77 23.58
5 12 18 16 59  999.09 24.39
5 12 18 17 0  999.16 24.39
5 12 18 17 30  999.05 24.76
5 12 18 17 56  999.18 24.27
5 12 18 18 0  999.19 24.31
5 12 18 18 2  999.25 24.31
5 12 18 18 30  999.10 24.50
5 12 18 19 0  999.15 24.21
5 12 18 19 7  999.11 24.32
5 12 18 19 30  999.39 24.32
5 12 18 20 0  999.46 24.24
5 12 18 20 2  999.51 24.27
5 12 18 20 30  999.92 24.06
5 12 18 21 0  999.92 24.06
5 12 18 21 30  1000.15 24.07
5 12 18 22 0  1000.02 24.34
5 12 18 22 30  999.80 24.41
5 12 18 23 0  999.79 24.46
5 12 18 23 30  999.65 24.49
6 12 18 0 0  999.58 23.96
6 12 18 0 30  999.22 23.61
6 12 18 1 0  999.16 23.33
6 12 18 1 30  999.22 23.28
6 12 18 2 0  999.12 23.12
6 12 18 2 30  999.00 23.05
6 12 18 3 0  998.83 23.11
6 12 18 3 30  998.54 22.89
6 12 18 4 0  998.37 22.88
6 12 18 4 30  998.28 22.81
6 12 18 5 0  998.26 22.81
6 12 18 5 30  998.05 22.79
6 12 18 6 0  997.83 22.60
6 12 18 6 30  998.05 22.52
6 12 18 7 0  998.18 22.93
6 12 18 7 30  998.10 23.51
6 12 18 7 50  998.12 23.78
6 12 18 7 54  998.18 23.86
6 12 18 7 54  998.21 23.85
6 12 18 8 0  998.15 23.92
6 12 18 8 30  997.91 23.59
6 12 18 9 0  998.07 23.60
6 12 18 9 30  998.05 23.94
6 12 18 10 0  997.89 24.09
6 12 18 10 30  997.65 23.99
6 12 18 11 0  997.11 24.11
6 12 18 11 2  997.11 24.12
6 12 18 11 2  997.05 24.11
6 12 18 11 30  996.62 23.05
6 12 18 12 0  996.10 24.62
6 12 18 12 30  996.00 24.95
6 12 18 12 46  995.80 25.19
6 12 18 13 0  995.81 25.37
6 12 18 13 30  995.87 25.61
6 12 18 13 49  995.63 25.46
6 12 18 13 58  995.63 25.46
6 12 18 14 0  995.63 25.46
6 12 18 14 30  995.45 24.37
6 12 18 14 34  995.52 24.88
6 12 18 14 34  995.52 24.88
6 12 18 14 53  1024.25 25.75
6 12 18 14 54  997.71 31.16
6 12 18 15 0  997.69 29.28
6 12 18 17 13  995.04 24.03
6 12 18 17 30  995.02 28.63
