6 12 18 18 0  995,98 2,91
6 12 18 18 18  995,90 2,55
6 12 18 18 18  995,87 2,54
6 12 18 18 18  995,87 2,54
6 12 18 18 18  995,88 2,54
6 12 18 18 18  995,88 2,54
6 12 18 18 30  995,71 2,64
6 12 18 19 0  995,71 2,68
6 12 18 19 23  995,25 2,63
6 12 18 19 23  995,25 2,63
6 12 18 19 23  995,25 2,63
6 12 18 19 23  995,25 2,63
6 12 18 19 23  995,22 2,64
6 12 18 19 23  995,22 2,64
6 12 18 19 24  995,20 2,64
6 12 18 19 24  995,20 2,64
6 12 18 19 24  995,20 2,63
6 12 18 19 24  995,20 2,63
6 12 18 19 24  995,18 2,65
6 12 18 19 24  995,20 2,66
6 12 18 19 29  995,11 2,70
6 12 18 19 29  995,18 2,72
6 12 18 19 30  995,11 2,71
6 12 18 19 31  995,19 2,73
6 12 18 19 31  995,16 2,70
6 12 18 19 34  995,03 2,69
6 12 18 19 34  995,03 2,69
6 12 18 19 34  995,06 2,68
6 12 18 19 53  994,87 2,46
6 12 18 20 0  994,87 2,41
6 12 18 20 30  994,72 2,40
6 12 18 21 0  994,91 2,36
6 12 18 21 30  994,59 2,35
6 12 18 22 0  994,62 2,36
6 12 18 22 30  994,38 2,24
6 12 18 23 0  994,52 2,46
6 12 18 23 30  994,64 2,27
7 12 18 0 0  994,45 2,25
7 12 18 0 30  994,22 2,18
7 12 18 1 0  993,81 1,84
7 12 18 1 30  993,41 1,66
7 12 18 2 0  993,05 1,95
7 12 18 2 30  992,72 2,21
7 12 18 3 0  992,47 2,31
7 12 18 3 30  992,29 2,03
7 12 18 4 0  991,81 2,04
7 12 18 4 30  991,42 2,02
7 12 18 5 0  991,10 2,00
7 12 18 5 30  990,82 1,87
7 12 18 6 0  990,45 1,56
7 12 18 6 30  990,18 1,42
7 12 18 7 0  990,11 1,47
7 12 18 7 30  990,01 1,41
7 12 18 8 0  989,92 1,45
7 12 18 8 30  989,79 1,56
7 12 18 9 0  989,74 1,51
7 12 18 9 30  989,76 1,61
7 12 18 10 0  989,24 2,14
7 12 18 10 30  988,77 2,72
7 12 18 11 0  988,47 2,59
7 12 18 11 30  988,14 2,73
7 12 18 12 0  988,07 2,78
7 12 18 12 30  987,77 2,75
7 12 18 13 0  987,57 2,89
7 12 18 13 30  987,20 2,73
7 12 18 14 0  986,82 2,73
7 12 18 14 30  986,67 2,65
